Data Order,Data Size,Algorithms,Running Time,Comparisions
Sorted Data,10000,QuickSort,0.005,333493
,,ShakerSort,0,20002
,,CountingSort,0.001,73723
,30000,QuickSort,0.017,1151559
,,ShakerSort,0,60002
,,CountingSort,0.002,221278
,50000,QuickSort,0.03,2015477
,,ShakerSort,0.001,100002
,,CountingSort,0.002,339879
,100000,QuickSort,0.072,4264119
,,ShakerSort,0.001,200002
,,CountingSort,0.005,634287
,300000,QuickSort,0.225,15316451
,,ShakerSort,0.003,600002
,,CountingSort,0.015,1832778
,500000,QuickSort,0.456,28847543
,,ShakerSort,0.006,1000002
,,CountingSort,0.023,3032771
Nearly sorted Data,10000,QuickSort,2.414,100029997
,,ShakerSort,0,20002
,,CountingSort,0,70003
,30000,QuickSort,17.806,900089997
,,ShakerSort,0.001,60002
,,CountingSort,0.001,210003
,50000,QuickSort,49.323,2500149997
,,ShakerSort,0,100002
,,CountingSort,0.002,350003
,100000,QuickSort,213.615,10000299997
,,ShakerSort,0.001,200002
,,CountingSort,0.005,700003
,300000,QuickSort,1890.95,90000899997
,,ShakerSort,0.003,600002
,,CountingSort,0.017,2100003
,500000,QuickSort,5756.44,2.50E+11
,,ShakerSort,0.01,1000002
,,CountingSort,0.033,3500003
Reverse sorted Data,10000,QuickSort,1.539,100029997
,,ShakerSort,0.001,20002
,,CountingSort,0.001,70003
,30000,QuickSort,12.298,900089997
,,ShakerSort,0,60002
,,CountingSort,0.003,210003
,50000,QuickSort,35.839,2500149997
,,ShakerSort,0,100002
,,CountingSort,0.003,350003
,100000,QuickSort,137.333,10000299997
,,ShakerSort,0.001,200002
,,CountingSort,0.006,700003
,300000,QuickSort,1203.51,90000899997
,,ShakerSort,0.004,600002
,,CountingSort,0.018,2100003
,500000,QuickSort,3510.11,2.50E+11
,,ShakerSort,0.007,1000002
,,CountingSort,0.031,3500003
Randomized Data,10000,QuickSort,0.745,38110325
,,ShakerSort,0,20002
,,CountingSort,0.001,70003
,30000,QuickSort,2.579,201464077
,,ShakerSort,0.001,60002
,,CountingSort,0.001,210003
,50000,QuickSort,36.93,1635876581
,,ShakerSort,0,100002
,,CountingSort,0.003,350003
,100000,QuickSort,209.171,9265848137
,,ShakerSort,0.002,200002
,,CountingSort,0.006,700003
,300000,QuickSort,2008.89,89226743507
,,ShakerSort,0.003,600002
,,CountingSort,0.017,2100003
,500000,QuickSort,5584.01,2.49241E+11
,,ShakerSort,0.004,1000002
,,CountingSort,0.021,3500003
