Data Order,Data Size,Algorithms,Running Time,Comparisions
Sorted Data,10000,QuickSort,0.007,326627,
,,ShakerSort,1.661,66887474,
,,CountingSort,0.001,79992,
,30000,QuickSort,0.02,1193885,
,,ShakerSort,13.75,601151499,
,,CountingSort,0.003,239992,
,50000,QuickSort,0.033,2088631,
,,ShakerSort,39.968,1668020470,
,,CountingSort,0.004,365523,
,100000,QuickSort,0.073,4348705,
,,ShakerSort,156.945,6682455034,
,,CountingSort,0.008,665532,
,300000,QuickSort,0.241,15796387,
,,ShakerSort,2028.04,59965718485,
,,CountingSort,0.017,1865528,
,500000,QuickSort,0.389,29085757,
,,ShakerSort,4381.26,166800915206,
,,CountingSort,0.017,3065533,
Nearly sorted Data,10000,QuickSort,2.022,100029997,
,,ShakerSort,0,20002,
,,CountingSort,0,70003,
,30000,QuickSort,17.517,900089997,
,,ShakerSort,0,60002,
,,CountingSort,0.001,210003,
,50000,QuickSort,48.604,2500149997,
,,ShakerSort,0,100002,
,,CountingSort,0.002,350003,
,100000,QuickSort,195.526,10000299997,
,,ShakerSort,0.001,200002,
,,CountingSort,0.006,700003,
,300000,QuickSort,1738.96,90000899997,
,,ShakerSort,0.002,600002,
,,CountingSort,0.01,2100003,
,500000,QuickSort,6695.47,250001499997,
,,ShakerSort,0.007,1000002,
,,CountingSort,0.094,3500003,
Reverse sorted Data,10000,QuickSort,1.446,100029997,
,,ShakerSort,2.576,100005001,
,,CountingSort,0.001,80002,
,30000,QuickSort,15.467,900089997,
,,ShakerSort,23.182,900015001,
,,CountingSort,0.002,240002,
,50000,QuickSort,36.795,2500149997,
,,ShakerSort,63.596,2500025001,
,,CountingSort,0.007,400002,
,100000,QuickSort,166.249,10000299997,
,,ShakerSort,265.094,10000050001,
,,CountingSort,0.008,800002,
,300000,QuickSort,1162.45,90000899997,
,,ShakerSort,1825.69,90000150001,
,,CountingSort,0.013,2400002,
,500000,QuickSort,3276.09,250001499997,
,,ShakerSort,7543.04,250000250001,
,,CountingSort,0.024,4000002,
Randomized Data,10000,QuickSort,0.736,42515753,
,,ShakerSort,0.002,154504,
,,CountingSort,0.001,78075,
,30000,QuickSort,3.379,244514889,
,,ShakerSort,0.006,521093,
,,CountingSort,0.002,237399,
,50000,QuickSort,34.175,1758326421,
,,ShakerSort,0.011,767950,
,,CountingSort,0.002,380730,
,100000,QuickSort,184.06,9092214701,
,,ShakerSort,0.011,679400,
,,CountingSort,0.007,730708,
,300000,QuickSort,1955.6,89249334409,
,,ShakerSort,0.009,979490,
,,CountingSort,0.014,2126983,
,500000,QuickSort,5217.8,249311114749,
,,ShakerSort,0.016,1617493,
,,CountingSort,0.027,3527369,
